OBJECTID,id,Class,Location,Facility,Sub_Class,Class_2,Longitude,Latitude
159,,Parks and Open Space,16 McKinley Street,McKinley Street Park,,Park,-66.5794449,45.9993172
160,,Parks and Open Space,Clayton Street,Clayton Street Park,,Park,-66.5871048,45.9922104
161,,Parks and Open Space,59 Cowperthwaite Street,Cowperthwaite Street Park,,Park,-66.5908203,45.9887428
162,,Recreation Facility,31 Downing Street,Downing Street Park,,Basketball,-66.5858688,45.9813957
163,,Parks and Open Space,27 Downing Street,Downing Street Park,,Park,-66.5864105,45.9812164
164,987,Recreation Facility,12 Randolph Street,Stairs Field,,Sports Field,-66.6524429,45.9980812
165,,Parks and Open Space,12 Randolph Street,Randolph Street Park,,Park,-66.6529160,45.9983940
166,,Parks and Open Space,14 Mannington Lane,Mannington Lane Park,,Park,-66.6416855,45.9892235
167,,Parks and Open Space,199 Crocket Street,Crocket Street Park,,Park,-66.6016922,45.9807396
168,985,Recreation Facility,320 Fulton Avenue,Nashwaaksis Middle (Middle Field),,Sports Field,-66.6459503,45.9863892
169,986,Recreation Facility,320 Fulton Avenue,Nashwaaksis Middle (Lower Field),,Sports Field,-66.6471558,45.9865532
170,984,Recreation Facility,320 Fulton Avenue,Nashwaaksis Middle (Upper Field),,Sports Field,-66.6447296,45.9860077
171,,Recreation Facility,324 Fulton Avenue,Nashwaaksis Middle School,,Basketball,-66.6444244,45.9848862
172,,Parks and Open Space,155 Barton Crescent,Barton Crescent Park,,Park,-66.6623230,45.9916725
173,,Parks and Open Space,50 Evens Street,Evens Street Park,,Park,-66.6395645,45.9832191
174,,Recreation Facility,324 Fulton Avenue,Nashwaaksis Middle Tennis Courts,,Tennis Courts,-66.6448135,45.9847870
175,,Recreation Facility,80 Main Street,Nashwaaksis Memorial Tennis Courts,,Tennis Courts,-66.6609650,45.9805222
176,,Recreation Facility,241 Canada Street,Marysville School,,Tennis Courts,-66.5945969,45.9777107
177,,Recreation Facility,199 Longwood Drive,Park Street Park Wading Pool,,Wading Pool,-66.6454086,45.9813118
178,,Recreation Facility,605 Cliffe Street,Fredericton Beach Volleyball,,Beach Vollyball,-66.6183548,45.9801903
179,,Recreation Facility,120 Main Street,Nashwaaksis Commons,,Commons,-66.6571808,45.9794044
180,,Cenotaph,250 Canada Street,Marysville Cenotaph,,Cenotaph,-66.5922928,45.9785614
181,,Parks and Open Space,340 Royal Road,Royal Road Elementary Playground,,Park,-66.6702728,45.9971161
182,,Recreation Facility,79 Carrington Lane,Fredericton Indoor Pool,,Indoor Pool,-66.6430206,45.9859314
183,,Recreation Facility,499 Cliffe Street,Leo Hayes Back Field 1,,Sports Field,-66.6205521,45.9800606
184,,Recreation Facility,248 Medley Street,Henry Park Outdooor Pool,,Outdoor Pool,-66.6203079,45.9651527
185,,Parks and Open Space,248 Medley Street,Henry Park,,Park,-66.6199722,45.9648323
186,,Parks and Open Space,370 Rookwood Avenue,Odell Park,,Park,-66.6627960,45.9566345
187,,Recreation Facility,Sewell Street,Henry Park Tennis Courts,,Tennis Courts,-66.6221085,45.9642448
188,,Recreation Facility,891 Barker Street,York Arena,,Arena,-66.6198425,45.9612465
189,,Parks and Open Space,306 Union Street,Riverside Park,,Park,-66.6412048,45.9731560
190,,Recreation Facility,930 Barker Street,Barker Street Field,,Sports Field,-66.6193237,45.9584007
191,,Recreation Facility,63 Brunswick Street,Small Craft Aquatic Centre,,Small Craft Aquatic Centre,-66.6517715,45.9660683
